 uintah-collection                  , ShopClick               ,2,8,1
 uintah-collection                  , ShopClick               ,2,8,15
 uintah-collection                  , ShopClick               ,2,8,17
 uintah-collection                  , ShopClick               ,2,8,18
 uintah-collection                  , ShopClick               ,2,8,20
 welovezenzendream                  , ShopClick               ,2,8,15
 welovezenzendream                  , ShopClick               ,2,8,21
 welovezenzendream                  , ShopClick               ,2,8,24
 welovezenzendream                  , ShopClick               ,2,8,25
 MelanieAuldJewelry                 , ShopClick               ,2,8,5
 PinkARROWSBoutique                 , ShopClick               ,2,8,20
 attitudes_boutique                 , ShopClick               ,2,8,2
 attitudes_boutique                 , ShopClick               ,2,8,7
 attitudes_boutique                 , ShopClick               ,2,8,15
 attitudes_boutique                 , ShopClick               ,2,8,17
 attitudes_boutique                 , ShopClick               ,2,8,19
 attitudes_boutique                 , ShopClick               ,2,8,28
 bellfield-clothing                 , ShopClick               ,2,8,9
 bourbonandboweties                 , ShopClick               ,2,8,14
 bourbonandboweties                 , ShopClick               ,2,8,24
 bourbonandboweties                 , ShopClick               ,2,8,30
 brit-rocksboutique                 , ShopClick               ,2,8,16
 childrenofthetribe                 , ShopClick               ,2,8,1
 childrenofthetribe                 , ShopClick               ,2,8,2
 childrenofthetribe                 , ShopClick               ,2,8,23
 daughtersofculture                 , ShopClick               ,2,8,1
 daughtersofculture                 , ShopClick               ,2,8,24
 daughtersofculture                 , ShopClick               ,2,8,27
 daughtersofculture                 , ShopClick               ,2,8,31
 erin-fader-jewelry                 , ShopClick               ,2,8,25
 everydaycalifornia                 , ShopClick               ,2,8,12
 everydaycalifornia                 , ShopClick               ,2,8,14
 everydaycalifornia                 , ShopClick               ,2,8,21
 fallenBROKENstreet                 , ShopClick               ,2,8,20
 fallenBROKENstreet                 , ShopClick               ,2,8,22
 fallenBROKENstreet                 , ShopClick               ,2,8,30
 fallenBROKENstreet                 , ShopClick               ,2,8,31
 federationclothing                 , ShopClick               ,2,8,1
 federationclothing                 , ShopClick               ,2,8,19
 five-five-fabulous                 , ShopClick               ,2,8,31
 inspiration-by-laa                 , ShopClick               ,2,8,1
 inspiration-by-laa                 , ShopClick               ,2,8,3
 inspiration-by-laa                 , ShopClick               ,2,8,9
 leonard-and-church                 , ShopClick               ,2,8,13
 leonard-and-church                 , ShopClick               ,2,8,19
 losarihomeandwoman                 , ShopClick               ,2,8,5
 losarihomeandwoman                 , ShopClick               ,2,8,10
 losarihomeandwoman                 , ShopClick               ,2,8,19
 losarihomeandwoman                 , ShopClick               ,2,8,22
 madame-fancy-pants                 , ShopClick               ,2,8,2
 madame-fancy-pants                 , ShopClick               ,2,8,9
 madame-fancy-pants                 , ShopClick               ,2,8,21
 madame-fancy-pants                 , ShopClick               ,2,8,22
 margaret-elizabeth                 , ShopClick               ,2,8,3
 prettypinkprincess                 , ShopClick               ,2,8,1
 prettypinkprincess                 , ShopClick               ,2,8,3
 prettypinkprincess                 , ShopClick               ,2,8,4
 prettypinkprincess                 , ShopClick               ,2,8,6
 prettypinkprincess                 , ShopClick               ,2,8,12
 prettypinkprincess                 , ShopClick               ,2,8,14
 prettypinkprincess                 , ShopClick               ,2,8,22
 prettypinkprincess                 , ShopClick               ,2,8,28
 prettypinkprincess                 , ShopClick               ,2,8,30
 profound-aesthetic                 , ShopClick               ,2,8,1
 profound-aesthetic                 , ShopClick               ,2,8,3
 profound-aesthetic                 , ShopClick               ,2,8,9
 profound-aesthetic                 , ShopClick               ,2,8,13
 profound-aesthetic                 , ShopClick               ,2,8,14
 profound-aesthetic                 , ShopClick               ,2,8,17
 profound-aesthetic                 , ShopClick               ,2,8,22
 profound-aesthetic                 , ShopClick               ,2,8,23
 steviemay_byronbay                 , ShopClick               ,2,8,5
 steviemay_byronbay                 , ShopClick               ,2,8,14
 steviemay_byronbay                 , ShopClick               ,2,8,18
 summerloveswimwear                 , ShopClick               ,2,8,26
 wildandfreejewelry                 , ShopClick               ,2,8,4
 wildandfreejewelry                 , ShopClick               ,2,8,7
 wildandfreejewelry                 , ShopClick               ,2,8,11
 wildandfreejewelry                 , ShopClick               ,2,8,13
 wildandfreejewelry                 , ShopClick               ,2,8,16
 wildandfreejewelry                 , ShopClick               ,2,8,17
 wildandfreejewelry                 , ShopClick               ,2,8,18
 wildandfreejewelry                 , ShopClick               ,2,8,22
 beyourself-boutique                , ShopClick               ,2,8,4
 beyourself-boutique                , ShopClick               ,2,8,6
 beyourself-boutique                , ShopClick               ,2,8,18
 beyourself-boutique                , ShopClick               ,2,8,19
 beyourself-boutique                , ShopClick               ,2,8,28
 beyourself-boutique                , ShopClick               ,2,8,30
 black-rooster-decor                , ShopClick               ,2,8,2
 black-rooster-decor                , ShopClick               ,2,8,3
 black-rooster-decor                , ShopClick               ,2,8,9
 black-rooster-decor                , ShopClick               ,2,8,30
 erickson-wood-works                , ShopClick               ,2,8,6
 lessonsconceptstore                , ShopClick               ,2,8,1
 lessonsconceptstore                , ShopClick               ,2,8,4
 lessonsconceptstore                , ShopClick               ,2,8,10
 lessonsconceptstore                , ShopClick               ,2,8,19
 lessonsconceptstore                , ShopClick               ,2,8,24
 maddie-merriweather                , ShopClick               ,2,8,4
 meadowlarkjewellery                , ShopClick               ,2,8,7
 meadowlarkjewellery                , ShopClick               ,2,8,13
 meadowlarkjewellery                , ShopClick               ,2,8,14
 meadowlarkjewellery                , ShopClick               ,2,8,15
 meadowlarkjewellery                , ShopClick               ,2,8,21
 real-sports-apparel                , ShopClick               ,2,8,2
 real-sports-apparel                , ShopClick               ,2,8,9
 real-sports-apparel                , ShopClick               ,2,8,22
 real-sports-apparel                , ShopClick               ,2,8,26
 real-sports-apparel                , ShopClick               ,2,8,29
 real-sports-apparel                , ShopClick               ,2,8,31
 sea-of-candi-bikini                , ShopClick               ,2,8,2
 sea-of-candi-bikini                , ShopClick               ,2,8,8
 sea-of-candi-bikini                , ShopClick               ,2,8,15
 sea-of-candi-bikini                , ShopClick               ,2,8,18
 sea-of-candi-bikini                , ShopClick               ,2,8,19
 sea-of-candi-bikini                , ShopClick               ,2,8,22
 sea-of-candi-bikini                , ShopClick               ,2,8,23
 sea-of-candi-bikini                , ShopClick               ,2,8,27
 seletticonceptstore                , ShopClick               ,2,8,28
 sportsgirlinstagram                , ShopClick               ,2,8,4
 sportsgirlinstagram                , ShopClick               ,2,8,8
 sportsgirlinstagram                , ShopClick               ,2,8,12
 sportsgirlinstagram                , ShopClick               ,2,8,17
 sportsgirlinstagram                , ShopClick               ,2,8,21
 the-clinton-company                , ShopClick               ,2,8,4
 the-clinton-company                , ShopClick               ,2,8,5
 the-orchid-boutique                , ShopClick               ,2,8,4
 the-orchid-boutique                , ShopClick               ,2,8,7
 the-orchid-boutique                , ShopClick               ,2,8,22
 Entreaguas_Beachwear               , ShopClick               ,2,8,12
 bombshell-sportswear               , ShopClick               ,2,8,21
 calibreshopinstagram               , ShopClick               ,2,8,7
 calibreshopinstagram               , ShopClick               ,2,8,8
 calibreshopinstagram               , ShopClick               ,2,8,11
 calibreshopinstagram               , ShopClick               ,2,8,22
 calibreshopinstagram               , ShopClick               ,2,8,31
 carpe-diem-jewellery               , ShopClick               ,2,8,11
 carpe-diem-jewellery               , ShopClick               ,2,8,17
 carpe-diem-jewellery               , ShopClick               ,2,8,25
 carpe-diem-jewellery               , ShopClick               ,2,8,26
 giginewyorkinstagram               , ShopClick               ,2,8,12
 giginewyorkinstagram               , ShopClick               ,2,8,13
 giginewyorkinstagram               , ShopClick               ,2,8,29
 little-miss-lorraine               , ShopClick               ,2,8,29
 mango-molli-swimwear               , ShopClick               ,2,8,1
 mango-molli-swimwear               , ShopClick               ,2,8,2
 mango-molli-swimwear               , ShopClick               ,2,8,14
 mango-molli-swimwear               , ShopClick               ,2,8,15
 mango-molli-swimwear               , ShopClick               ,2,8,18
 mango-molli-swimwear               , ShopClick               ,2,8,19
 mara-carrizo-scalise               , ShopClick               ,2,8,15
 mara-carrizo-scalise               , ShopClick               ,2,8,18
 mara-carrizo-scalise               , ShopClick               ,2,8,22
 measurabledifference               , ShopClick               ,2,8,22
 measurabledifference               , ShopClick               ,2,8,27
 the-cassette-company               , ShopClick               ,2,8,4
 the-cassette-company               , ShopClick               ,2,8,17
 BrighterWhite-Results              , ShopClick               ,2,8,2
 BrighterWhite-Results              , ShopClick               ,2,8,10
 THEDARKHORSEJEWELLERY              , ShopClick               ,2,8,10
 THEDARKHORSEJEWELLERY              , ShopClick               ,2,8,13
 THEDARKHORSEJEWELLERY              , ShopClick               ,2,8,26
 geebeauty-bal-harbour              , ShopClick               ,2,8,6
 geebeauty-bal-harbour              , ShopClick               ,2,8,10
 geebeauty-bal-harbour              , ShopClick               ,2,8,25
 leaders-cosmetics-usa              , ShopClick               ,2,8,17
 minimarketbyvandevort              , ShopClick               ,2,8,13
 minimarketbyvandevort              , ShopClick               ,2,8,23
 nataliewaldmandesigns              , ShopClick               ,2,8,25
 newcastle-drum-centre              , ShopClick               ,2,8,2
 newcastle-drum-centre              , ShopClick               ,2,8,7
 newcastle-drum-centre              , ShopClick               ,2,8,8
 pacific-and-driftwood              , ShopClick               ,2,8,22
 stolengirlfriendsclub              , ShopClick               ,2,8,23
 stolengirlfriendsclub              , ShopClick               ,2,8,25
 taylor-morris-eyewear              , ShopClick               ,2,8,3
 taylor-morris-eyewear              , ShopClick               ,2,8,5
 taylor-morris-eyewear              , ShopClick               ,2,8,6
 taylor-morris-eyewear              , ShopClick               ,2,8,7
 taylor-morris-eyewear              , ShopClick               ,2,8,8
 worldofangus_minifeed              , ShopClick               ,2,8,3
 crooked-howlet-designs             , ShopClick               ,2,8,5
 crooked-howlet-designs             , ShopClick               ,2,8,6
 crooked-howlet-designs             , ShopClick               ,2,8,8
 crooked-howlet-designs             , ShopClick               ,2,8,11
 crooked-howlet-designs             , ShopClick               ,2,8,12
 crooked-howlet-designs             , ShopClick               ,2,8,17
 crooked-howlet-designs             , ShopClick               ,2,8,23
 crooked-howlet-designs             , ShopClick               ,2,8,24
 featuresneakerboutique             , ShopClick               ,2,8,14
 featuresneakerboutique             , ShopClick               ,2,8,21
 featuresneakerboutique             , ShopClick               ,2,8,26
 heather-pullis-designs             , ShopClick               ,2,8,10
 heather-pullis-designs             , ShopClick               ,2,8,16
 heather-pullis-designs             , ShopClick               ,2,8,29
 love-stories-intimates             , ShopClick               ,2,8,10
 love-stories-intimates             , ShopClick               ,2,8,13
 love-stories-intimates             , ShopClick               ,2,8,15
 love-stories-intimates             , ShopClick               ,2,8,23
 miranda-bennett-studio             , ShopClick               ,2,8,5
 miranda-bennett-studio             , ShopClick               ,2,8,19
 miranda-bennett-studio             , ShopClick               ,2,8,24
 a-little-birdie-told-me            , ShopClick               ,2,8,29
 don-t-blow-the-illusion            , ShopClick               ,2,8,22
 madison-square-clothing            , ShopClick               ,2,8,8
 twelve-thirteen-jewelry            , ShopClick               ,2,8,7
 twelve-thirteen-jewelry            , ShopClick               ,2,8,8
 twelve-thirteen-jewelry            , ShopClick               ,2,8,15
 twelve-thirteen-jewelry            , ShopClick               ,2,8,19
 twelve-thirteen-jewelry            , ShopClick               ,2,8,20
 twelve-thirteen-jewelry            , ShopClick               ,2,8,23
 twelve-thirteen-jewelry            , ShopClick               ,2,8,27
 Melissa_Harris_Jewellery           , ShopClick               ,2,8,9
 Melissa_Harris_Jewellery           , ShopClick               ,2,8,16
 anna-inspiring-jewellery           , ShopClick               ,2,8,10
 anna-inspiring-jewellery           , ShopClick               ,2,8,15
 anna-inspiring-jewellery           , ShopClick               ,2,8,20
