,extension,status,join_date
0,popupshop,1,2014-09-04 00:00:00
1,MelanieAuldJewelry,1,2014-09-11 00:00:00
2,lionetteny,1,2014-09-30 00:00:00
3,primary,1,2014-12-26 00:00:00
4,lspaceswim,1,2014-12-29 00:00:00
5,goodnightmacaroon,1,2015-02-01 00:00:00
6,beachbunnyswimwear,1,2015-02-03 00:00:00
7,lovehauslove,0,2015-02-05 00:00:00
8,lineapelle,1,2015-02-16 00:00:00
9,wildandfreejewelry,1,2015-02-26 00:00:00
10,lizzyjamesinspiration,1,2015-03-02 00:00:00
11,onzie,1,2015-03-02 00:00:00
12,laviebohemeyoga,1,2015-03-04 00:00:00
13,Beachbabeswimwear,1,2015-03-06 00:00:00
14,wolventhreads,1,2015-03-07 00:00:00
15,SHOPFIRSTBASE,1,2015-03-13 00:00:00
16,stitchandhide,1,2015-04-08 00:00:00
17,zanerobe,1,2015-04-15 00:00:00
18,bronzesnakeshop,1,2015-04-15 00:00:00
19,GUNAS,1,2015-04-23 00:00:00
20,oyeswimwear,1,2015-04-27 00:00:00
21,parkerthatch,1,2015-04-30 00:00:00
22,linenchest_french,1,2015-04-30 00:00:00
23,augustethelabel,1,2015-05-05 00:00:00
24,gooseberryintimates,1,2015-05-05 00:00:00
25,swimwearworld,1,2015-05-06 00:00:00
26,ExtraButter,1,2015-05-08 00:00:00
27,electricandrose,1,2015-05-09 00:00:00
28,swf,1,2015-05-10 00:00:00
29,kookai,1,2015-05-11 00:00:00
30,bettinis,1,2015-05-11 00:00:00
31,honeybirdette,1,2015-05-14 00:00:00
32,blenderseyewear,1,2015-05-21 00:00:00
33,hopeandmay,1,2015-05-25 00:00:00
34,artclubconcept,1,2015-05-27 00:00:00
35,prettypinkprincess,1,2015-05-31 00:00:00
36,myfashionlab,1,2015-06-01 00:00:00
37,federationclothing,1,2015-06-02 00:00:00
38,spell_byronbay,1,2015-06-03 00:00:00
39,bando,1,2015-06-05 00:00:00
40,fallenBROKENstreet,1,2015-06-09 00:00:00
41,sanlorenzobikinis,1,2015-06-10 00:00:00
42,meandmoo,0,2015-06-11 00:00:00
43,lot2029,0,2015-06-15 00:00:00
44,donajo,1,2015-06-16 00:00:00
45,theminimalist,1,2015-06-22 00:00:00
46,sheshopped,1,2015-06-23 00:00:00
47,superettestore,1,2015-06-23 00:00:00
48,ilovestonefox,1,2015-06-24 00:00:00
49,krystleknightjewellery,1,2015-06-25 00:00:00
50,sportsgirlinstagram,1,2015-07-05 00:00:00
51,lisablueswim,0,2015-07-06 00:00:00
52,aristides,1,2015-07-08 00:00:00
53,skinnymetea,1,2015-07-09 00:00:00
54,shopdixi,1,2015-07-11 00:00:00
55,tflt,1,2015-07-16 00:00:00
56,paredeyewear,1,2015-07-16 00:00:00
57,reynspooner,1,2015-07-16 00:00:00
58,arrowdivine,1,2015-07-22 00:00:00
59,cantikswimwear,1,2015-07-24 00:00:00
60,2pennyblue,0,2015-07-24 00:00:00
61,childrenofthetribe,1,2015-07-27 00:00:00
62,childofwild,1,2015-07-28 00:00:00
63,jawbreaking,0,2015-07-29 00:00:00
64,kaohs,1,2015-07-30 00:00:00
